tier,doc_file,test_id,pass_fail,owner,run_date,computed_verdict,computed_latency_ms,rule_ms,evidence_log_path,evidence_capture_path,computed_fail_reasons,binding_status,action_required,note
UT,05_Unit_Test.md,UT_ADAS_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_ADAS_OBJ_RISK_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_ADAS_OBJ_SAFETY_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_ARB_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_ALERT_EXT_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_BODY_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_CH_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_EXT_BODY_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_EXT_IVI_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_GW_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_IVI_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_PT_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_ROBUST_EXT_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BASE_TEST_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BCM_001,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
UT,05_Unit_Test.md,UT_BND_006_A,,,,,,,,,,DOC_ONLY,RUN_AND_SCORE_REQUIRED,
