domain_dbc,message_name,old_id_hex,old_id_dec,new_tier,new_group,new_index,new_id_hex,new_id_dec,priority_class,owner_ecu,flow_ref,comm_ref,var_ref,code_ref,test_ref,impact_note,status,approver,approved_date
eth_backbone_can_stub.dbc,frmEmergencyBroadcastMsg,0x064,100,,,,,,,,,,,,,Vector__XXX,,,,
chassis_can.dbc,frmVehicleStateCanMsg,0x100,256,,,,,,,,,,,,,VAL_SCENARIO_CTRL,,,,
chassis_can.dbc,frmSteeringCanMsg,0x101,257,,,,,,,,,,,,,VAL_SCENARIO_CTRL,,,,
chassis_can.dbc,frmPedalInputCanMsg,0x102,258,,,,,,,,,,,,,VAL_SCENARIO_CTRL,,,,
chassis_can.dbc,frmSteeringStateCanMsg,0x103,259,,,,,,,,,,,,,CHS_GW,,,,
chassis_can.dbc,frmWheelSpeedMsg,0x104,260,,,,,,,,,,,,,CHS_GW,,,,
chassis_can.dbc,frmYawAccelMsg,0x105,261,,,,,,,,,,,,,CHS_GW,,,,
chassis_can.dbc,frmBrakeStatusMsg,0x106,262,,,,,,,,,,,,,BRK_CTRL,,,,
chassis_can.dbc,frmAccelStatusMsg,0x107,263,,,,,,,,,,,,,ACCEL_CTRL,,,,
chassis_can.dbc,frmSteeringTorqueMsg,0x108,264,,,,,,,,,,,,,STEER_CTRL,,,,
chassis_can.dbc,frmChassisHealthMsg,0x109,265,,,,,,,,,,,,,CHS_GW,,,,
chassis_can.dbc,frmEpsStateMsg,0x10A,266,,,,,,,,,,,,,STEER_CTRL,,,,
chassis_can.dbc,frmAbsStateMsg,0x10B,267,,,,,,,,,,,,,BRK_CTRL,,,,
chassis_can.dbc,frmEscStateMsg,0x10C,268,,,,,,,,,,,,,BRK_CTRL,,,,
chassis_can.dbc,frmTcsStateMsg,0x10D,269,,,,,,,,,,,,,ACCEL_CTRL,,,,
chassis_can.dbc,frmBrakeTempMsg,0x10E,270,,,,,,,,,,,,,BRK_CTRL,,,,
chassis_can.dbc,frmSteeringAngleMsg,0x10F,271,,,,,,,,,,,,,STEER_CTRL,,,,
infotainment_can.dbc,frmNavContextCanMsg,0x110,272,,,,,,,,,,,,,VAL_SCENARIO_CTRL,,,,
