"domain_dbc","message_name","old_id_hex","old_id_dec","new_tier","new_group","new_index","new_id_hex","new_id_dec","priority_class","owner_ecu","flow_ref","comm_ref","var_ref","code_ref","test_ref","impact_note","status","approver","approved_date"
"eth_backbone_can_stub.dbc","frmEmergencyBroadcastMsg","0x064","100","1","6","0","0x1C0","448","High","EMS_ALERT","0302_NWflowDef.md::frmEmergencyBroadcastMsg","0303_Communication_Specification.md::frmEmergencyBroadcastMsg","","","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmVehicleStateCanMsg","0x100","256","2","5","0","0x2A0","672","Medium","VAL_SCENARIO_CTRL","0302_NWflowDef.md::frmVehicleStateCanMsg","0303_Communication_Specification.md::frmVehicleStateCanMsg","","canoe/cfg/channel_assign/ETH_Backbone/VAL_SCENARIO_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmSteeringCanMsg","0x101","257","2","5","1","0x2A1","673","Medium","VAL_SCENARIO_CTRL","0302_NWflowDef.md::frmSteeringCanMsg","0303_Communication_Specification.md::frmSteeringCanMsg","","canoe/cfg/channel_assign/ETH_Backbone/VAL_SCENARIO_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmPedalInputCanMsg","0x102","258","2","5","2","0x2A2","674","Medium","VAL_SCENARIO_CTRL","0302_NWflowDef.md::frmPedalInputCanMsg","0303_Communication_Specification.md::frmPedalInputCanMsg","","canoe/cfg/channel_assign/ETH_Backbone/VAL_SCENARIO_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmSteeringStateCanMsg","0x103","259","1","0","0","0x100","256","High","CHS_GW","0302_NWflowDef.md::frmSteeringStateCanMsg","0303_Communication_Specification.md::frmSteeringStateCanMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmWheelSpeedMsg","0x104","260","1","0","1","0x101","257","High","CHS_GW","0302_NWflowDef.md::frmWheelSpeedMsg","0303_Communication_Specification.md::frmWheelSpeedMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmYawAccelMsg","0x105","261","1","0","2","0x102","258","High","CHS_GW","0302_NWflowDef.md::frmYawAccelMsg","0303_Communication_Specification.md::frmYawAccelMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmBrakeStatusMsg","0x106","262","1","1","0","0x120","288","High","BRK_CTRL","0302_NWflowDef.md::frmBrakeStatusMsg","0303_Communication_Specification.md::frmBrakeStatusMsg","","canoe/cfg/channel_assign/Chassis/BRK_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmAccelStatusMsg","0x107","263","1","1","1","0x121","289","High","ACCEL_CTRL","0302_NWflowDef.md::frmAccelStatusMsg","0303_Communication_Specification.md::frmAccelStatusMsg","","canoe/cfg/channel_assign/Chassis/ACCEL_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmSteeringTorqueMsg","0x108","264","1","1","2","0x122","290","High","STEER_CTRL","0302_NWflowDef.md::frmSteeringTorqueMsg","0303_Communication_Specification.md::frmSteeringTorqueMsg","","canoe/cfg/channel_assign/Chassis/STEER_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmChassisHealthMsg","0x109","265","1","0","3","0x103","259","High","CHS_GW","0302_NWflowDef.md::frmChassisHealthMsg","0303_Communication_Specification.md::frmChassisHealthMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmEpsStateMsg","0x10A","266","1","1","3","0x123","291","High","STEER_CTRL","0302_NWflowDef.md::frmEpsStateMsg","0303_Communication_Specification.md::frmEpsStateMsg","","canoe/cfg/channel_assign/Chassis/STEER_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmAbsStateMsg","0x10B","267","1","1","4","0x124","292","High","BRK_CTRL","0302_NWflowDef.md::frmAbsStateMsg","0303_Communication_Specification.md::frmAbsStateMsg","","canoe/cfg/channel_assign/Chassis/BRK_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
